class,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
1,no checking account,24,delay in paying off in the past,business,3863,A61,1  <= ... < 4 years,1,male   : single,none,2,unknown / no property,32,none,for free,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,7,existing credits paid back duly till now,radio/television,2329,A61,... < 1 year,1,female : divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled employee / official,1,none,yes
2,0 <= ... <  200 DM,9,existing credits paid back duly till now,furniture/equipment,918,A61,1  <= ... < 4 years,4,female : divorced/separated/married,none,1,if not A121 : building society savings agreement/ life insurance,30,none,own,1,skilled employee / official,1,none,yes
2,0 <= ... <  200 DM,24,all credits at this bank paid back duly,education,1837,A61,4  <= ... < 7 years,4,female : divorced/separated/married,none,4,unknown / no property,34,bank,for free,1,unskilled - resident,1,none,yes
2,no checking account,36,existing credits paid back duly till now,furniture/equipment,3349,A61,1  <= ... < 4 years,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,furniture/equipment,1275,A61,... < 1 year,4,female : divorced/separated/married,none,2,if not A121 : building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,none,yes
1,... <    0 DM,24,all credits at this bank paid back duly,furniture/equipment,2828,A63,1  <= ... < 4 years,4,male   : single,none,4,real estate,22,stores,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,24,critical account/  other credits existing (not at this bank),business,4526,A61,1  <= ... < 4 years,3,male   : single,none,2,real estate,74,none,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,36,existing credits paid back duly till now,radio/television,2671,A62,1  <= ... < 4 years,4,female : divorced/separated/married,co-applicant,4,unknown / no property,50,none,for free,1,skilled employee / official,1,none,yes
1,no checking account,18,existing credits paid back duly till now,radio/television,2051,A61,... < 1 year,4,male   : single,none,1,real estate,33,none,own,1,skilled employee / official,1,none,yes
1,no checking account,15,existing credits paid back duly till now,car (used),1300,A65,.. >= 7 years,4,male   : single,none,4,unknown / no property,45,bank,for free,1,skilled employee / official,2,none,yes
2,... <    0 DM,12,existing credits paid back duly till now,domestic appliances,741,A62,unemployed,4,female : divorced/separated/married,none,3,if not A121 : building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1,none,yes
2,... >= 200 DM / salary assignments for at least 1 year,10,existing credits paid back duly till now,car (new),1240,A62,.. >= 7 years,1,female : divorced/separated/married,none,4,unknown / no property,48,none,for free,1,unskilled - resident,2,none,yes
1,... <    0 DM,21,existing credits paid back duly till now,radio/television,3357,A64,... < 1 year,4,female : divorced/separated/married,none,2,"if not A121/A122 : car or other, not in attribute 6",29,bank,own,1,skilled employee / official,1,none,yes
1,... <    0 DM,24,all credits at this bank paid back duly,car (used),3632,A61,1  <= ... < 4 years,1,female : divorced/separated/married,guarantor,4,"if not A121/A122 : car or other, not in attribute 6",22,bank,rent,1,skilled employee / official,1,none,no
2,no checking account,18,delay in paying off in the past,furniture/equipment,1808,A61,4  <= ... < 7 years,4,female : divorced/separated/married,none,1,real estate,22,none,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,48,no credits taken/ all credits paid back duly,business,12204,A65,1  <= ... < 4 years,2,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",48,bank,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,0 <= ... <  200 DM,60,delay in paying off in the past,radio/television,9157,A65,1  <= ... < 4 years,2,male   : single,none,2,unknown / no property,27,none,for free,1,management/ self-employed/,1,none,yes
1,... <    0 DM,6,critical account/  other credits existing (not at this bank),car (new),3676,A61,1  <= ... < 4 years,1,male   : single,none,3,real estate,37,none,rent,3,skilled employee / official,2,none,yes
2,0 <= ... <  200 DM,30,existing credits paid back duly till now,furniture/equipment,3441,A62,1  <= ... < 4 years,2,female : divorced/separated/married,co-applicant,4,"if not A121/A122 : car or other, not in attribute 6",21,none,rent,1,skilled employee / official,1,none,yes
1,no checking account,12,existing credits paid back duly till now,car (new),640,A61,1  <= ... < 4 years,4,male   : divorced/separated,none,2,real estate,49,none,own,1,unskilled - resident,1,none,yes
1,0 <= ... <  200 DM,21,critical account/  other credits existing (not at this bank),business,3652,A61,4  <= ... < 7 years,2,male   : single,none,3,if not A121 : building society savings agreement/ life insurance,27,none,own,2,skilled employee / official,1,none,yes
2,no checking account,18,critical account/  other credits existing (not at this bank),car (new),1530,A61,1  <= ... < 4 years,3,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,32,bank,own,2,skilled employee / official,1,none,yes
2,no checking account,48,existing credits paid back duly till now,business,3914,A65,1  <= ... < 4 years,4,male   : divorced/separated,none,2,real estate,38,bank,own,1,skilled employee / official,1,none,yes
1,... <    0 DM,12,existing credits paid back duly till now,furniture/equipment,1858,A61,... < 1 year,4,female : divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",22,none,rent,1,skilled employee / official,1,none,yes
2,... <    0 DM,18,existing credits paid back duly till now,radio/television,2600,A61,1  <= ... < 4 years,4,male   : single,none,4,unknown / no property,65,none,for free,2,skilled employee / official,1,none,yes
1,no checking account,15,existing credits paid back duly till now,radio/television,1979,A65,.. >= 7 years,4,male   : single,none,2,"if not A121/A122 : car or other, not in attribute 6",35,none,own,1,skilled employee / official,1,none,yes
1,... >= 200 DM / salary assignments for at least 1 year,6,existing credits paid back duly till now,furniture/equipment,2116,A61,1  <= ... < 4 years,2,male   : single,none,2,real estate,41,none,own,1,skilled employee / official,1,"yes, registered under the customers name",yes
2,0 <= ... <  200 DM,9,all credits at this bank paid back duly,car (new),1437,A62,4  <= ... < 7 years,2,male   : single,none,3,unknown / no property,29,none,own,1,skilled employee / official,1,none,yes
1,no checking account,42,critical account/  other credits existing (not at this bank),furniture/equipment,4042,A63,1  <= ... < 4 years,4,male   : single,none,4,real estate,36,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,9,existing credits paid back duly till now,education,3832,A65,.. >= 7 years,1,male   : single,none,4,real estate,64,none,own,1,unskilled - resident,1,none,yes
1,... <    0 DM,24,existing credits paid back duly till now,radio/television,3660,A61,1  <= ... < 4 years,2,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes
2,... <    0 DM,18,all credits at this bank paid back duly,furniture/equipment,1553,A61,1  <= ... < 4 years,4,male   : single,none,3,"if not A121/A122 : car or other, not in attribute 6",44,bank,own,1,skilled employee / official,1,none,yes
1,0 <= ... <  200 DM,15,existing credits paid back duly till now,radio/television,1444,A65,... < 1 year,4,male   : single,none,1,if not A121 : building society savings agreement/ life insurance,23,none,own,1,skilled employee / official,1,none,yes
2,no checking account,9,existing credits paid back duly till now,furniture/equipment,1980,A61,... < 1 year,2,female : divorced/separated/married,co-applicant,2,"if not A121/A122 : car or other, not in attribute 6",19,none,rent,2,skilled employee / official,1,none,yes
2,0 <= ... <  200 DM,24,existing credits paid back duly till now,car (new),1355,A61,... < 1 year,3,female : divorced/separated/married,none,4,"if not A121/A122 : car or other, not in attribute 6",25,none,own,1,unskilled - resident,1,"yes, registered under the customers name",yes
1,no checking account,12,existing credits paid back duly till now,education,1393,A61,.. >= 7 years,4,male   : single,none,4,if not A121 : building society savings agreement/ life insurance,47,bank,own,3,skilled employee / official,2,"yes, registered under the customers name",yes
1,no checking account,24,existing credits paid back duly till now,radio/television,1376,A63,4  <= ... < 7 years,4,female : divorced/separated/married,none,1,"if not A121/A122 : car or other, not in attribute 6",28,none,own,1,skilled employee / official,1,none,yes
1,no checking account,60,delay in paying off in the past,radio/television,15653,A61,4  <= ... < 7 years,2,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",21,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,no checking account,12,existing credits paid back duly till now,radio/television,1493,A61,... < 1 year,4,female : divorced/separated/married,none,3,"if not A121/A122 : car or other, not in attribute 6",34,none,own,1,skilled employee / official,2,none,yes
2,... <    0 DM,42,delay in paying off in the past,radio/television,4370,A61,4  <= ... < 7 years,3,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,26,bank,own,2,skilled employee / official,2,"yes, registered under the customers name",yes
2,... <    0 DM,18,existing credits paid back duly till now,education,750,A61,unemployed,4,female : divorced/separated/married,none,1,real estate,27,none,own,1,unemployed/ unskilled  - non-resident,1,none,yes
1,0 <= ... <  200 DM,15,existing credits paid back duly till now,repairs,1308,A61,.. >= 7 years,4,male   : single,none,4,"if not A121/A122 : car or other, not in attribute 6",38,none,own,2,unskilled - resident,1,none,yes
2,no checking account,15,existing credits paid back duly till now,education,4623,A62,1  <= ... < 4 years,3,male   : single,none,2,if not A121 : building society savings agreement/ life insurance,40,none,own,1,management/ self-employed/,1,"yes, registered under the customers name",yes
1,no checking account,24,critical account/  other credits existing (not at this bank),radio/television,1851,A61,4  <= ... < 7 years,4,male   : married/widowed,guarantor,2,"if not A121/A122 : car or other, not in attribute 6",33,none,own,2,skilled employee / official,1,"yes, registered under the customers name",yes
1,... <    0 DM,18,critical account/  other credits existing (not at this bank),radio/television,1880,A61,4  <= ... < 7 years,4,male   : married/widowed,none,1,if not A121 : building society savings agreement/ life insurance,32,none,own,2,management/ self-employed/,1,"yes, registered under the customers name",yes
